product_id,name,category,brand,unit_price,unit_cost
1,The Silent River,Fiction,Random House,37.09,23.66
2,Shadows of Time,Fiction,Random House,40.05,27.61
3,Autumn Letters,Fiction,Random House,13.3,9.91
4,Whispers in the Wind,Fiction,HarperCollins,36.64,25.91
5,Crimson Night,Fiction,Penguin,14.48,9.27
6,Mindset Mastery,Non-Fiction,Random House,22.98,16.9
7,History of the Andes,Non-Fiction,Penguin,32.54,23.25
8,Designing Your Life,Non-Fiction,Planeta,25.52,15.2
9,The Art of Focus,Non-Fiction,Planeta,29.41,16.55
10,Cultural Atlas,Non-Fiction,Planeta,38.97,26.36
11,Quantum Paths,Science,HarperCollins,36.53,22.68
12,Genetics Unveiled,Science,Random House,43.97,32.04
13,Astronomy for All,Science,Planeta,37.24,21.93
14,The Code of Life,Science,Penguin,26.34,14.72
15,AI Foundations,Science,Penguin,15.4,10.57
16,The Little Explorer,Children,HarperCollins,36.07,26.82
17,Moonlight Stories,Children,Penguin,21.4,13.36
18,Forest Friends,Children,Random House,26.43,15.54
19,Colorful Numbers,Children,HarperCollins,14.55,9.39
20,Tiny Adventures,Children,Random House,17.94,12.27
